sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
A1.sam	0	1460	392	66	118	0	6676	4621	94	280	1.00000	0.572	0.396	0.008	0.024
A2.sam	0	695	462	74	161	0	2531	5500	127	389	1.00000	0.296	0.644	0.015	0.046
A3.sam	0	940	1103	187	327	0	4224	7049	374	895	1.00000	0.337	0.562	0.030	0.071
A4.sam	0	1235	521	104	209	0	5550	5954	189	524	1.00000	0.454	0.487	0.015	0.043
A5.sam	0	1300	545	72	148	0	12832	3718	122	409	1.00000	0.751	0.218	0.007	0.024
A6.sam	0	1545	479	75	166	0	21440	4858	127	379	1.00000	0.800	0.181	0.005	0.014
S1.sam	0	790	932554	3329	472	0	2599	1563698	5680	1184	1.00000	0.002	0.994	0.004	0.001
S2.sam	0	957	1198933	4391	552	0	2896	2011059	7938	1367	1.00000	0.001	0.994	0.004	0.001
S3.sam	0	396407	231978	968	288	0	509551	320096	1403	630	1.00000	0.613	0.385	0.002	0.001
S4.sam	0	292313	173814	622	276	0	438697	283448	1076	731	1.00000	0.606	0.392	0.001	0.001
S5.sam	0	135278	1033109	3779	499	0	154605	1512399	5801	959	1.00000	0.092	0.904	0.003	0.001
S6.sam	0	1360330	476164	1460	241	0	1764124	610606	1936	450	1.00000	0.742	0.257	0.001	0.000
